City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,udachny,66.4167,112.4,293.4,28,28,7.13,RU,1688920320
1,port-aux-francais,-49.35,70.2167,274.35,56,56,7.5,TF,1688920320
2,shiloh,38.5614,-89.8973,300.41,75,75,0.89,US,1688920280
3,teguise,29.0605,-13.564,299.27,20,20,10.29,ES,1688920320
4,lae,-6.7221,146.9847,297.42,99,99,1.93,PG,1688920320
5,luebo,-5.35,21.4167,299.83,37,37,0.77,CD,1688920326
6,punta arenas,-53.15,-70.9167,276.21,0,0,7.2,CL,1688920152
7,waitangi,-43.9535,-176.5597,283.61,100,100,4.02,NZ,1688920326
8,stanley,54.868,-1.6985,295.81,20,20,3.09,GB,1688920040
9,west island,-12.1568,96.8225,299.14,40,40,7.72,CC,1688920327
10,bartlesville,36.7473,-95.9808,299.83,40,40,4.12,US,1688920327
11,dhilwan,31.5169,75.35,299.32,96,96,2.82,IN,1688920327
12,grytviken,-54.2811,-36.5092,267.4,77,77,4.55,GS,1688920327
13,fang,19.9169,99.2145,296.82,100,100,0.56,TH,1688920328
14,betio village,1.358,172.9211,301.17,96,96,4.71,KI,1688920328
15,tindouf,27.6711,-8.1474,319.4,0,0,1.54,DZ,1688920328
16,buctzotz,21.2,-88.7833,309.01,51,51,3.94,MX,1688920328
17,hawaiian paradise park,19.5933,-154.9731,295.78,100,100,2.06,US,1688920329
18,malvan,16.0667,73.4667,300.41,100,100,5.2,IN,1688920329
19,isafjordur,66.0755,-23.124,282.17,20,20,5.14,IS,1688920329
20,yulinshi,38.2906,109.7494,301.2,80,80,2.12,CN,1688920330
21,namibe,-15.1961,12.1522,291.94,0,0,3.08,AO,1688920330
22,bilibino,68.0546,166.4372,288.18,75,75,0.98,RU,1688920331
23,tiksi,71.6872,128.8694,275.86,0,0,2.31,RU,1688920331
24,colchani,-20.3,-66.9333,280.32,95,95,3.29,BO,1688920331
25,georgetown,5.4112,100.3354,301.11,20,20,0.0,MY,1688920331
26,vila franca do campo,37.7167,-25.4333,296.38,62,62,2.92,PT,1688920332
27,afaahiti,-17.75,-149.2833,296.08,60,60,10.49,PF,1688920332
28,puerto natales,-51.7236,-72.4875,272.4,20,20,2.57,CL,1688920332
29,kone,-21.0595,164.8658,289.09,15,15,1.79,NC,1688920332
30,malango,-2.9627,119.9001,291.09,47,47,1.01,ID,1688920333
31,chonchi,-42.6128,-73.8092,282.66,100,100,1.76,CL,1688920333
